,,,Mg/Ca,StDev,,RelStDev
17779,29156,7712,0.213486,0.076582,29156,0.3587214149874
17699,29221,7710,0.622661,0.141339,29221,0.226991894465849
17618,29287,7708,0.598818,0.041668,29287,0.0695837466475624
17538,29352,7705,0.410892,0.065817,29352,0.160180777430566
17457,29417,7703,0.36332,0.028945,29417,0.0796680612132555
17376,29482,7701,0.352526,0.020177,29482,0.0572354946869167
17296,29547,7699,0.361175,0.056414,29547,0.156195749982695
17215,29612,7697,0.342399,0.04787,29612,0.139807651307393
17134,29677,7695,0.318756,0.025747,29677,0.0807733815206616
17054,29742,7692,0.313569,0.035418,29742,0.11295121647867
16973,29807,7690,0.321779,0.047939,29807,0.148981133013652
16892,29872,7688,0.300412,0.021953,29872,0.0730763085362768
16811,29938,7686,0.33274,0.033619,29938,0.101036845585142
16729,30003,7684,0.311825,0.030523,30003,0.0978850316684037
16648,30068,7682,0.293998,0.016808,30068,0.057170456941884
16567,30133,7680,0.322214,0.043219,30133,0.134131353696612
16486,30199,7677,0.345737,0.041077,30199,0.118809962485936
16405,30264,7675,0.397229,0.014701,30264,0.0370088790093372
16324,30329,7673,0.357267,0.028977,30329,0.0811074070653041
16242,30394,7671,0.36212,0.040884,30394,0.112901800508119
16161,30460,7669,0.367856,0.02096,30460,0.0569788177982689
16080,30525,7667,0.359191,0.043514,30525,0.121144460746511
15999,30588,7664,0.351534,0.044683,30588,0.127108615382865
15918,30650,7662,0.340618,0.020373,30650,0.059811871363228
15838,30713,7660,0.358599,0.027968,30713,0.0779924093486039
15757,30776,7658,0.33332,0.032255,30776,0.0967688707548302
15676,30838,7656,0.369104,0.03605,30838,0.097668949672721
15595,30901,7654,0.339578,0.007525,30901,0.0221598572345676
15515,30964,7652,0.309069,0.020453,30964,0.0661761613102576
15434,31027,7650,0.293179,0.014589,31027,0.0497614085592761
15353,31089,7648,0.304188,0.034406,31089,0.113107683406315
15272,31152,7646,0.25234,0.009395,31152,0.0372315130379647
15192,31215,7644,0.271168,0.027515,31215,0.10146846235544
15111,31277,7642,0.270698,0.016718,31277,0.0617588604274875
15030,31340,7640,0.271635,0.008127,31340,0.0299188248936993
14947,31404,7637,0.315275,0.008736,31404,0.0277091428118309
14864,31468,7635,0.345468,0.031887,31468,0.092300878807878
14781,31532,7633,0.295148,0.053103,31532,0.179919904590239
14698,31596,7631,0.302513,0.032775,31596,0.108342451398783
14615,31660,7629,0.300134,0.034448,31660,0.11477540032119
14532,31724,7627,0.312094,0.079809,31724,0.255721032765769
14449,31788,7625,0.302685,0.045128,31788,0.149092290665213
14366,31853,7623,0.444742,0.215383,31853,0.484287519505691
14283,31917,7620,0.412335,0.090415,31917,0.219275589023488
14200,31981,7618,0.390182,0.057409,31981,0.147133901615144
14117,32045,7616,0.554182,0.336967,32045,0.60804392780711
14034,32109,7614,0.435391,0.088902,32109,0.204188878502312
13951,32173,7612,0.495928,0.11849,32173,0.238925811811392
13868,32237,7610,0.40178,0.065134,32237,0.162113594504455
13777,32283,7608,0.316909,0.054808,32283,0.172945545882256
13685,32329,7607,0.296818,0.027678,32329,0.093249061714586
13594,32375,7605,0.356198,0.100528,32375,0.282225054604462
13503,32421,7604,0.310317,0.025736,32421,0.0829345475755437
13411,32466,7602,0.275752,0.035228,32466,0.127752473236821
13320,32512,7600,0.258773,0.011932,32512,0.0461099110030799
13229,32558,7599,0.289894,0.045641,32558,0.157440305766935
13137,32604,7597,0.287038,0.032732,32604,0.114033681951519
13046,32650,7596,0.376901,0.038491,32650,0.102124961196707
12945,32692,7594,0.329072,0.018403,32692,0.0559239315408178
12844,32734,7593,0.353954,0.0659,32734,0.186182385281703
12744,32776,7591,0.526828,0.088444,32776,0.167880218970898
